date,M社,S社,T社
2019/1/4,3220,1511,1477
2019/1/7,3450,1563,1502
2019/1/8,3520,1588,1494
2019/1/9,3520,1604,1512
2019/1/10,3320,1606,1529
2019/1/11,3325,1620,1552
2019/1/15,3350,1636,1518
2019/1/16,3350,1613,1521
2019/1/17,3420,1622,1531
2019/1/18,3280,1630,1547
2019/1/21,3250,1649,1543
2019/1/22,3320,1644,1537
2019/1/23,3320,1649,1514
2019/1/24,3170,1655,1517
2019/1/25,3100,1679,1510
2019/1/28,3135,1688,1502
2019/1/29,3050,1703,1534
2019/1/30,2990,1706,1502
2019/1/31,2980,1728,1472
2019/2/1,2980,1625,1444
2019/2/4,2970,1648,1436
2019/2/5,2880,1661,1439
2019/2/6,2949,1657,1435
2019/2/7,2880,1650,1420
2019/2/8,2790,1598,1414
2019/2/12,2760,1617,1424
2019/2/13,2740,1654,1419
2019/2/14,2740,1671,1420
2019/2/15,2823,1671,1429
2019/2/18,2815,1675,1441
2019/2/19,2885,1673,1458
2019/2/20,2853,1680,1488
2019/2/21,2821,1674,1471
2019/2/22,2776,1657,1457
2019/2/25,2736,1675,1470
2019/2/26,2741,1670,1474
2019/2/27,2741,1662,1476
2019/2/28,2824,1646,1460
2019/3/1,2820,1637,1440
2019/3/4,2770,1653,1416
2019/3/5,2770,1641,1417
2019/3/6,2670,1638,1419
2019/3/7,2670,1639,1400
2019/3/8,2640,1605,1385
2019/3/11,2699,1625,1419
2019/3/12,2699,1653,1419
2019/3/13,2699,1661,1419
2019/3/14,2625,1653,1420
2019/3/15,2550,1649,1435
2019/3/18,2550,1679,1453
2019/3/19,2560,1678,1447
2019/3/20,2571,1682,1450
2019/3/22,2621,1693,1465
2019/3/25,2600,1669,1454
2019/3/26,2599,1698,1485
2019/3/27,2499,1688,1463
2019/3/28,2500,1682,1436
2019/3/29,2650,1695,1412
2019/4/1,2600,1725,1452
2019/4/2,2600,1745,1435
2019/4/3,2770,1751,1421
2019/4/4,2650,1756,1395
2019/4/5,2651,1779,1411
2019/4/8,2731,1771,1408
2019/4/9,2630,1781,1389
2019/4/10,2630,1755,1389
